epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,6887.36,0.72854,0.70793,1.09454,0.9532,0.96265,0.97795,0.76774,0.87183,0.49732,1.2009,0.000106363,0.000106363,0.000106363
105,6954.37,0.74161,0.69317,1.09798,0.95707,0.96636,0.97755,0.76149,0.8755,0.4882,1.20313,0.000105288,0.000105288,0.000105288
106,7021.29,0.72643,0.68857,1.0927,0.96767,0.96232,0.9787,0.76345,0.87425,0.48107,1.20811,0.000104214,0.000104214,0.000104214
107,7088.44,0.73637,0.69215,1.1015,0.95905,0.96703,0.97747,0.76817,0.87186,0.4798,1.19954,0.00010314,0.00010314,0.00010314
108,7155.49,0.72519,0.68537,1.09123,0.95663,0.97011,0.97948,0.76444,0.87675,0.47855,1.20095,0.000102066,0.000102066,0.000102066
109,7223.38,0.73683,0.68737,1.09555,0.96216,0.96554,0.97903,0.76988,0.86492,0.47877,1.19646,0.000100992,0.000100992,0.000100992
110,7290.47,0.73112,0.67454,1.09598,0.95863,0.96293,0.97811,0.76538,0.87142,0.49062,1.19906,9.99176e-05,9.99176e-05,9.99176e-05
111,7358.34,0.71681,0.68286,1.08379,0.95508,0.96865,0.9803,0.77014,0.86473,0.48137,1.19266,9.88435e-05,9.88435e-05,9.88435e-05
112,7425.92,0.71907,0.69307,1.08906,0.95898,0.97027,0.98052,0.76624,0.87281,0.47596,1.19903,9.77693e-05,9.77693e-05,9.77693e-05
113,7493.06,0.71602,0.67188,1.08887,0.96116,0.96721,0.97964,0.76852,0.87368,0.47359,1.20138,9.66952e-05,9.66952e-05,9.66952e-05
114,7560.01,0.71116,0.67649,1.08588,0.96278,0.96837,0.98023,0.76633,0.87311,0.47485,1.20279,9.56211e-05,9.56211e-05,9.56211e-05
115,7627.26,0.71933,0.67633,1.09438,0.95778,0.96343,0.97899,0.76788,0.87123,0.47121,1.20158,9.45469e-05,9.45469e-05,9.45469e-05
116,7694.14,0.71314,0.66136,1.0862,0.95552,0.96667,0.98023,0.76603,0.8746,0.46516,1.20395,9.34728e-05,9.34728e-05,9.34728e-05
117,7761.25,0.7073,0.66857,1.08269,0.95399,0.97278,0.98141,0.76736,0.88617,0.46539,1.21427,9.23986e-05,9.23986e-05,9.23986e-05
118,7828.45,0.71936,0.67288,1.08711,0.96346,0.97236,0.98133,0.77086,0.87059,0.46383,1.19883,9.13245e-05,9.13245e-05,9.13245e-05
119,7895.12,0.71446,0.66924,1.08663,0.95926,0.97262,0.98117,0.76741,0.88106,0.47043,1.20883,9.02503e-05,9.02503e-05,9.02503e-05
120,7961.66,0.70507,0.65688,1.08487,0.95297,0.97296,0.97936,0.76429,0.8794,0.46677,1.20721,8.91761e-05,8.91761e-05,8.91761e-05
121,8027.92,0.70385,0.6405,1.08078,0.9669,0.96866,0.9817,0.76638,0.87229,0.46002,1.1944,8.8102e-05,8.8102e-05,8.8102e-05
122,8093.99,0.71061,0.66968,1.08501,0.9651,0.97014,0.98213,0.76933,0.87663,0.4588,1.20085,8.70278e-05,8.70278e-05,8.70278e-05
123,8160.48,0.70671,0.66229,1.0835,0.9607,0.97252,0.98024,0.76801,0.87661,0.46023,1.20228,8.59537e-05,8.59537e-05,8.59537e-05
124,8226.64,0.69285,0.65102,1.07762,0.96512,0.97021,0.98234,0.77175,0.8781,0.46088,1.20107,8.48795e-05,8.48795e-05,8.48795e-05
125,8293.83,0.71005,0.65984,1.08884,0.96071,0.96946,0.9813,0.77189,0.87254,0.46189,1.20192,8.38054e-05,8.38054e-05,8.38054e-05
126,8361.33,0.69978,0.64023,1.07779,0.96524,0.97057,0.98048,0.76878,0.87321,0.4585,1.20233,8.27312e-05,8.27312e-05,8.27312e-05
127,8428.55,0.68219,0.63902,1.07401,0.96103,0.97236,0.9802,0.77044,0.87486,0.45982,1.20548,8.16571e-05,8.16571e-05,8.16571e-05
128,8495.95,0.6932,0.63596,1.07663,0.96505,0.97002,0.97999,0.76838,0.87736,0.46031,1.20264,8.05829e-05,8.05829e-05,8.05829e-05
129,8562.29,0.69669,0.63219,1.0687,0.9705,0.96691,0.98063,0.76999,0.87886,0.45505,1.20481,7.95088e-05,7.95088e-05,7.95088e-05
130,8628.61,0.69581,0.64619,1.07769,0.96783,0.97008,0.98053,0.77008,0.8824,0.4609,1.21299,7.84346e-05,7.84346e-05,7.84346e-05
131,8695.1,0.68422,0.63666,1.0715,0.9585,0.9729,0.98027,0.76684,0.88004,0.4601,1.20407,7.73605e-05,7.73605e-05,7.73605e-05
132,8762.51,0.6852,0.63438,1.06372,0.9645,0.97156,0.98167,0.76736,0.88021,0.45807,1.20818,7.62863e-05,7.62863e-05,7.62863e-05
133,8829.54,0.68397,0.62777,1.06569,0.969,0.96343,0.97875,0.76681,0.87703,0.4603,1.20872,7.52122e-05,7.52122e-05,7.52122e-05
134,8897.47,0.68592,0.63465,1.08059,0.96361,0.97065,0.98171,0.77121,0.87429,0.45813,1.21003,7.4138e-05,7.4138e-05,7.4138e-05
135,8964.53,0.67767,0.63208,1.07061,0.96359,0.96749,0.97953,0.7692,0.87269,0.45272,1.20353,7.30639e-05,7.30639e-05,7.30639e-05
136,9031.55,0.68959,0.62176,1.06985,0.95881,0.97043,0.97939,0.77033,0.87917,0.46042,1.20938,7.19897e-05,7.19897e-05,7.19897e-05
137,9098.44,0.68605,0.61668,1.07334,0.96187,0.97302,0.98121,0.77295,0.87853,0.45457,1.20549,7.09156e-05,7.09156e-05,7.09156e-05
138,9165.95,0.68631,0.62874,1.07674,0.95834,0.96835,0.9808,0.77149,0.87883,0.45776,1.20634,6.98414e-05,6.98414e-05,6.98414e-05
139,9233.93,0.66761,0.60935,1.06453,0.96564,0.96821,0.98101,0.77082,0.87448,0.45791,1.20228,6.87673e-05,6.87673e-05,6.87673e-05
140,9300.86,0.68259,0.6277,1.06825,0.95792,0.97532,0.98337,0.77414,0.86913,0.45098,1.19667,6.76932e-05,6.76932e-05,6.76932e-05
141,9368.03,0.66956,0.61981,1.0661,0.96944,0.96438,0.98215,0.77348,0.87331,0.44983,1.20281,6.6619e-05,6.6619e-05,6.6619e-05
142,9434.92,0.66866,0.61453,1.0618,0.96682,0.96518,0.98271,0.77219,0.87153,0.44881,1.20509,6.55448e-05,6.55448e-05,6.55448e-05
143,9501.3,0.67305,0.6131,1.05928,0.96404,0.965,0.98066,0.77231,0.87497,0.45338,1.20515,6.44707e-05,6.44707e-05,6.44707e-05
144,9568.04,0.67108,0.60396,1.06446,0.96528,0.96364,0.97973,0.76996,0.87788,0.45592,1.21135,6.33965e-05,6.33965e-05,6.33965e-05
145,9635.14,0.66771,0.62054,1.05867,0.96116,0.96344,0.98005,0.76849,0.8783,0.45581,1.21312,6.23224e-05,6.23224e-05,6.23224e-05
146,9702.05,0.66327,0.59657,1.06192,0.96919,0.95623,0.97798,0.7692,0.86989,0.45021,1.20373,6.12482e-05,6.12482e-05,6.12482e-05
147,9768.63,0.67823,0.61932,1.06795,0.96377,0.97205,0.97958,0.76994,0.86848,0.44986,1.19948,6.01741e-05,6.01741e-05,6.01741e-05
148,9835.71,0.65924,0.60784,1.06125,0.96877,0.96383,0.98078,0.77104,0.867,0.44578,1.19803,5.91e-05,5.91e-05,5.91e-05
149,9903.39,0.65768,0.60509,1.05404,0.96879,0.96384,0.98165,0.77117,0.86497,0.44492,1.1976,5.80258e-05,5.80258e-05,5.80258e-05
150,9970.1,0.66286,0.5951,1.05798,0.96927,0.96306,0.98197,0.77207,0.8673,0.44927,1.20259,5.69517e-05,5.69517e-05,5.69517e-05
151,10036.8,0.66402,0.60151,1.06244,0.9685,0.9613,0.98135,0.7707,0.86946,0.45129,1.20475,5.58775e-05,5.58775e-05,5.58775e-05
152,10103.7,0.65094,0.59167,1.05376,0.96508,0.96433,0.98134,0.76938,0.86951,0.44929,1.2041,5.48033e-05,5.48033e-05,5.48033e-05
153,10170.5,0.66898,0.60646,1.06282,0.96536,0.96178,0.97818,0.76831,0.87145,0.44744,1.20642,5.37292e-05,5.37292e-05,5.37292e-05
154,10237.8,0.64762,0.59488,1.05998,0.96906,0.96261,0.98029,0.7699,0.86986,0.44833,1.20375,5.2655e-05,5.2655e-05,5.2655e-05
155,10305.5,0.67106,0.61348,1.06091,0.96942,0.96365,0.97986,0.77009,0.86893,0.44287,1.20745,5.15809e-05,5.15809e-05,5.15809e-05
156,10373.6,0.65385,0.59474,1.05617,0.97081,0.96367,0.98075,0.77088,0.86824,0.43784,1.20825,5.05067e-05,5.05067e-05,5.05067e-05
157,10441.5,0.65683,0.58189,1.0558,0.96257,0.96906,0.97944,0.76946,0.86493,0.43877,1.2041,4.94326e-05,4.94326e-05,4.94326e-05
158,10508.7,0.6508,0.57972,1.06048,0.96654,0.96722,0.98003,0.77256,0.86832,0.44104,1.2067,4.83584e-05,4.83584e-05,4.83584e-05
159,10575.3,0.65346,0.57706,1.06363,0.96542,0.96378,0.98068,0.76817,0.87108,0.44164,1.20679,4.72843e-05,4.72843e-05,4.72843e-05
160,10641.9,0.6441,0.58976,1.04766,0.9667,0.96181,0.9795,0.76924,0.87053,0.44282,1.20765,4.62101e-05,4.62101e-05,4.62101e-05
161,10708.8,0.64768,0.58271,1.05058,0.97057,0.96135,0.97925,0.76905,0.86986,0.44573,1.20791,4.5136e-05,4.5136e-05,4.5136e-05
162,10776.9,0.6387,0.57454,1.04461,0.96434,0.96749,0.98023,0.76891,0.86993,0.44268,1.20756,4.40618e-05,4.40618e-05,4.40618e-05
163,10844.2,0.64679,0.58712,1.05043,0.9605,0.97147,0.98031,0.77107,0.87129,0.44245,1.20996,4.29877e-05,4.29877e-05,4.29877e-05
164,10911.3,0.64295,0.5823,1.04816,0.96144,0.96619,0.98023,0.77139,0.87038,0.44383,1.21098,4.19136e-05,4.19136e-05,4.19136e-05
165,10979.4,0.64619,0.57278,1.04802,0.96263,0.96717,0.98034,0.76925,0.87075,0.44213,1.21199,4.08394e-05,4.08394e-05,4.08394e-05
166,11047.5,0.64019,0.56578,1.04476,0.96369,0.96698,0.98051,0.7701,0.8685,0.44129,1.21114,3.97653e-05,3.97653e-05,3.97653e-05
167,11115.6,0.64045,0.57499,1.05011,0.96785,0.96563,0.98008,0.76739,0.86812,0.4438,1.21076,3.86911e-05,3.86911e-05,3.86911e-05
168,11183.7,0.6303,0.5682,1.04324,0.9614,0.96872,0.97891,0.76834,0.86852,0.44643,1.21015,3.7617e-05,3.7617e-05,3.7617e-05
169,11251.6,0.62208,0.56151,1.04094,0.96195,0.96528,0.97761,0.76936,0.86879,0.44784,1.21043,3.65428e-05,3.65428e-05,3.65428e-05
170,11319.7,0.64087,0.56862,1.0529,0.96376,0.96581,0.97906,0.77077,0.86987,0.44626,1.21061,3.54687e-05,3.54687e-05,3.54687e-05
171,11386.6,0.62677,0.55284,1.04304,0.96478,0.96868,0.98115,0.77117,0.8685,0.44364,1.20901,3.43945e-05,3.43945e-05,3.43945e-05
172,11453.5,0.63025,0.56594,1.04578,0.96395,0.97095,0.98203,0.77435,0.86513,0.43953,1.2062,3.33204e-05,3.33204e-05,3.33204e-05
173,11520.3,0.62957,0.55956,1.04717,0.96093,0.97323,0.98207,0.77452,0.86602,0.43963,1.20729,3.22462e-05,3.22462e-05,3.22462e-05
174,11587.4,0.62524,0.55741,1.04172,0.96443,0.96735,0.98085,0.77427,0.86628,0.44234,1.20847,3.11721e-05,3.11721e-05,3.11721e-05
175,11654.7,0.62146,0.55595,1.03614,0.96151,0.9688,0.98082,0.77476,0.86568,0.43912,1.2085,3.00979e-05,3.00979e-05,3.00979e-05
176,11722.5,0.63463,0.56829,1.04055,0.96531,0.96876,0.98075,0.77288,0.8658,0.43734,1.20946,2.90238e-05,2.90238e-05,2.90238e-05
